127.0.0.1 - - [09/Jul/2025:09:42:00 +0200] "GET /cadenza/session-polling HTTP/1.1" 200 4
127.0.0.1 - - [09/Jul/2025:09:42:45 +0200] "GET /cadenza/session-polling HTTP/1.1" 200 4
127.0.0.1 - - [09/Jul/2025:09:43:30 +0200] "GET /cadenza/session-polling HTTP/1.1" 200 4
127.0.0.1 - - [09/Jul/2025:09:44:15 +0200] "GET /cadenza/session-polling HTTP/1.1" 200 4
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/w/satellitenkarte?mapExtent=924873.7103078744%2C6274734.7611868745%2C929765.6801181257%2C6279626.730997126&targetType=MAP&useMapSrs=true&webApplicationLink=mgsctVdrerBV8101oFtX&webApplicationLinkRepository=_DS4kjgAp5On-lHnEgIi HTTP/1.1" 302 -
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/repositories/_DS4kjgAp5On-lHnEgIi/workbooks/3sCrqhC7F7Oxv68MR92s/worksheets/CuIZyOUhppkGSTLjogOp?workbookHash=OQKWYudGjix9mdq69DVT_cJmTtB-b3Izmhy8kcNkl8FjqdRe&mapExtent=924873.7103078744%2C6274734.7611868745%2C929765.6801181257%2C6279626.730997126&targetType=MAP&useMapSrs=true&webApplicationLink=mgsctVdrerBV8101oFtX&webApplicationLinkRepository=_DS4kjgAp5On-lHnEgIi&embeddingTargetId=satellitenkarte&restoreDisplayState=true&hideMainHeaderAndFooter=true&hideWorkbookToolBar=true&maximizedViewId=BALpKie9zpxJUF9f5UBy&partialContext=viewEmbedding HTTP/1.1" 200 19886
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/bundles/src_ui_label-with-icon_label-with-icon_ts-src_ui_select_select_ts-packages_lib_src_scroll-sha-d40238.v_f3572c07514c22f0.css HTTP/1.1" 200 6953
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/bundles/src_cadenza_api-client_objecttypes-api_ts-src_cadenza_map_add-external-layers-wizard_show-add-caddcf.v_1ab2eecc4cfdc289.css HTTP/1.1" 200 8050
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/bundles/workbook-partial.v_c442218e1cec2ede.css HTTP/1.1" 200 3785
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/bundles/src_cadenza_workbook_worksheet_worksheet_ts-src_cadenza_workbook_selection-cart_selection-cart_css.v_a56586e353e8742e.css HTTP/1.1" 200 5025
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/bundles/titillium-web-latin-400-normal.v_28c7a39b09f4a3d1.woff2 HTTP/1.1" 200 12372
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/bundles/titillium-web-latin-600-normal.v_3330fc683bd15b7b.woff2 HTTP/1.1" 200 12136
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/config/default-map?repositoryName=_DS4kjgAp5On-lHnEgIi&workbookId=3sCrqhC7F7Oxv68MR92s&developmentRepository=_DS4kjgAp5On-lHnEgIi&embeddingTargetId=satellitenkarte HTTP/1.1" 200 188
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/curated-map-views?repositoryName=_DS4kjgAp5On-lHnEgIi&workbookId=3sCrqhC7F7Oxv68MR92s&developmentRepository=_DS4kjgAp5On-lHnEgIi&embeddingTargetId=satellitenkarte&offset=0&limit=100 HTTP/1.1" 200 400
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/workbooks/3sCrqhC7F7Oxv68MR92s,hash=OQKWYudGjix9mdq69DVT_cJmTtB-b3Izmhy8kcNkl8FjqdRe/objecttypes-data-dependencies?repositoryName=_DS4kjgAp5On-lHnEgIi&workbookId=3sCrqhC7F7Oxv68MR92s&developmentRepository=_DS4kjgAp5On-lHnEgIi&embeddingTargetId=satellitenkarte HTTP/1.1" 200 83
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/bundles/src_cadenza_ui_srs-picker_srs-picker_ts-src_cadenza_workbook_view_map_map-view_ts-src_ui_scal-f9196c.v_0126533fb26eafbd.css HTTP/1.1" 200 15590
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/config/map?repositoryName=_DS4kjgAp5On-lHnEgIi&workbookId=3sCrqhC7F7Oxv68MR92s&developmentRepository=_DS4kjgAp5On-lHnEgIi&embeddingTargetId=satellitenkarte HTTP/1.1" 200 831
127.0.0.1 - - [09/Jul/2025:09:44:56 +0200] "GET /cadenza/bundles/src_cadenza_map_context_context-autozoom_ts.v_006514fcc6d29e59.js HTTP/1.1" 200 571
127.0.0.1 - - [09/Jul/2025:09:44:58 +0200] "GET /cadenza/workbooks/3sCrqhC7F7Oxv68MR92s,hash=OQKWYudGjix9mdq69DVT_cJmTtB-b3Izmhy8kcNkl8FjqdRe/views/BALpKie9zpxJUF9f5UBy/mapConfiguration?repositoryName=_DS4kjgAp5On-lHnEgIi&workbookId=3sCrqhC7F7Oxv68MR92s&developmentRepository=_DS4kjgAp5On-lHnEgIi&embeddingTargetId=satellitenkarte&clientSideRendering=false&includeDetailedGroupLayers=false&width=100&height=29 HTTP/1.1" 200 2303
127.0.0.1 - - [09/Jul/2025:09:44:59 +0200] "GET /cadenza/config/location-finder?repositoryName=_DS4kjgAp5On-lHnEgIi&workbookId=3sCrqhC7F7Oxv68MR92s&developmentRepository=_DS4kjgAp5On-lHnEgIi&embeddingTargetId=satellitenkarte HTTP/1.1" 200 48
127.0.0.1 - - [09/Jul/2025:09:45:00 +0200] "GET /cadenza/location-finder/providers?repositoryName=_DS4kjgAp5On-lHnEgIi&workbookId=3sCrqhC7F7Oxv68MR92s&developmentRepository=_DS4kjgAp5On-lHnEgIi&embeddingTargetId=satellitenkarte HTTP/1.1" 200 404
